pair_id	han_sentence	viet_sentence
HVB_005_0000	李朝仁宗皇帝	Đời Vua NHÂN-TÔNG Hoàng-Đế
HVB_005_0001	乙卯大寧四年春二月選明經博學及試儒學三場	2, mùa Xuân tuyển học rộng, sáng suốt, kinh điển, và thi Nho-học ba trường.
HVB_005_0002	黎文盛  嘉定東究人仕至大師以妖術洮江安置	Lê-văn-Thịnh Người làng Đông Cửu, phủ Gia-Định, Sau làm đến chức Thái-sư.
HVB_005_0003	丙寅廣祐二年秋八月試天下文學充翰林院	Niên-hiệu Quảng-Hưu thứ 2 (1086)
HVB_005_0004	兄弟登科  莫顯績  至靈隴洞人建官之兄兄弟蓋仕至尚書挺之之遠祖  李仁宗太寧 廣祐 高宗貞符	Mạc-hiền-Tích Người huyện Chí-Linh, làng Lũng-Động, Anh ông Mạc-kien-Quan, anh em đều làm quan đến Thượng-thư, Viên-tổ của ông Mạc-định-Chi.
HVB_005_0005	高宗皇帝	Đời Vua CAO-TÔNG Hoàng-Đế
HVB_005_0006	杜世延  唐豪古寥人仕至朝議大夫守內侍省同知廣慈宮公事兼判審刑院賜金魚袋上柱國致職封福神	Niên-hiệu Trinh-Phù thứ 10 (1185) tháng giêng, mở kỳ thi, chọn những nhân-sĩ trong nước, lấy từ 19 tuổi mà thông thạo thi, thư, được châu giảng chọn Ngự-diên (chỗ vua đọc sách) cho trúng tuyển được 20 vị, Đỗ-thế-Diên Người huyện Đường-Hào, làng Cổ-Liêu, Làm đến chức Triều-Nghi Đại-phu, thủ-nội-thị-tỉnh, đông-tri-Quảng-từ-cung công sự, kiêm Phán-thâm hình, viện, tứ tử kim ngư-dai Thượng-tru-quốc, Hưu-tri phong Phước-thần.
HVB_005_0007	鄧嚴  舒池安邸人	Bùi-quốc-Khái Người huyện Cẩm-Giang, làng Binh-Lãng, Đặng-Nghiêm Người huyện Thư-Tri, làng An-Đề.
HVB_005_0008	陳朝太宗皇帝	TRIỀU TRẦN Đời Vua THÁI-TÔNG Hoàng-Đế
HVB_005_0009	壬辰建中八年春二月試太學生始分三甲	Niên-hiệu Kiến-Trung thứ 8 (1232) tháng 2, thi Thái-học-sanh (bắt đầu chia làm 3 giáp.)
HVB_005_0010	第一甲二名	Đệ-nhất giáp trúng 2 người :
HVB_005_0011	張亨  長津孟津人	Trương-Hanh Người huyện Trương-Tân, làng Mạnh-Tân.
HVB_005_0012	第二甲二名	Lưu-Điểm Đệ-nhị giáp 2 người : Đặng-Điễn.
HVB_005_0013	第三甲	Trịnh-Phủ Đệ-tam giáp :
HVB_005_0014	陳周普  細江卅渠人仕至司徒輔國公	Trần-châu-Tao Người hạt Tề-Giang, Đôn-Nhiên, Làm đến chức Tư-đồ, Phu-quốc-công.
HVB_005_0015	乙亥天應政平八年春二月試太學生	Niên-hiệu Thiên-Ứng Chánh-Bình thứ 8 (1239), tháng 2, thi Thái-học-sanh.
HVB_005_0016	劉免  仕至左司馬	Lưu-Miến Làm đến chức Tả-tư-mã.
HVB_005_0017	第二甲一名	Vương-Giát Đệ-nhi giáp trúng 1 người :
HVB_005_0018	吳克	Ngô-Khắc Đệ-tam giáp trúng 1 người :
HVB_005_0019	王世祿	Vương-thế-Lộc.
HVB_005_0020	丁未天應政平十六年春二月大比取大學生四十名賜三魁三名黃甲以下三十七名初壬辰己亥二科中選者惟分為甲乙至是始有三魁之選	Niên-hiệu Thiên-Ứng Chánh-Bình thứ 16 (1247), tháng 2, mở đại khoa, lấy Thái-học-sanh 40 vị ; (trúng Tam-khôi : Trạng-nguyên, bẳng-nhẫn, thám-hoa : 3 vị ; trúng Hoàng-giáp trở xuống : 37 vị, Trước kia hai khóa Nhâm-thìn và Kỷ-hợi, trúng tuyển chỉ chia Giáp và Ất, Đến đây mới cho trúng tuyển Tam-khôi.)
HVB_005_0021	狀元一名	Trạng-nguyên 1 người :
HVB_005_0022	阮賢  上賢阿陽人十三歲中	Nguyễn-Hiền Người huyện Thượng-Hiền, làng Dương-A, Trúng tuyển mới 13 tuổi.
HVB_005_0023	榜眼一名	Bảng-nhẫn 1 người :
HVB_005_0024	黎文休  東山里人十八歲中仕至兵部尚書仁淵侯修大越史記	Lê-văn-Hưu Người huyện Đông-Sơn, làng Phú-Lý, 18 tuổi trúng tuyển, Làm đến chức Bình-bộ-thượng-thư, nhân-Uyên-hầu, biên chép bộ Đại-Việt Sử-ký.
HVB_005_0025	探花一名	Thám-hoa 1 người :
