pair_id	han_sentence	viet_sentence
HVB_003_0000	公餘捷記南平日好古乃於公暇以己所素聞及求諸博識凡有所得輒擬事直書其稟以成篇各曰公餘攬記其詞意淺隔古人高文大筆雖不敢望其門牆然畧記之中有勸戒寓者無備間史覧大德君子勿以斥鷃見哂是荷世家纂譚武侯記漢書卷一〇六·列傳·卷之六言武韜每錄慕澤武侯其先祖福建人名澤唐武宗會昌元年武代韓鈞為交州刺史愛其鄕風水之異遂卜居焉	CÔNG-DƯ TIỆP-KÝ THẾ GIA Gia thế họ Võ ở làng Mộ-Trạch, Tiền tổ ngày xưa tên là Hồn vốn người ở tỉnh Phúc-Kiến bên Tâu, (vào thời Đường Kinh-Tông Bửu-Nguyên năm đầu, ông được thay chân Hàn-Thiếu sang làm Đô-hộ-Sứ bên An-Nam). Đến thời Đường Võ-Tông niên hiệu năm đầu Hồi-Xương (841), lại thay Hàn-Uốc sang làm Giao-châu Thư-Sứ (có chỗ chép là Kinh lược sứ). Vì thích phong thủy tốt đẹp của làng đó, ông bên tình kế đóng ở đây, nhân thế mới lấy 2 chữ Dương-An để đặt tên huyện, và chữ Khả-Mộ để đặt tên ấp (sau mỗi đời tên là Mộ-Trạch).
HVB_003_0001	因以唐安名其縣可謂各其色中間始改為暮澤至明宗當寧時竟佐其其弟農同登第大學並以文學稱官至內侍行遣左僕射始著宗門圖其世次科名壽爵秩自是可考	Kế đến thời vua Minh-Tông (1314-23) nhà Trần thì ông Nghiêu-Lá và em là Nông cũng đều đã đạt, (chức Đại-học-sĩ đời ra Quốc-sử), cả hai cũng đều nói tiếng chữ tốt văn hay, dần dần được thăng đến chức Hành-khiển Tả-bộc-Xạ. Bấy giờ các ông mới dời lại họ hàng, xếp thành chi thứ, khoa danh phẩm trước, ghi chú phân minh, từ đó mới có thể khảo sát rõ được.
HVB_003_0002	時有高王七世孫各問南來徧者我國各地至邑門外己亥科四名其二各一名者從來相屬同時登用至二十員通邑皆準後裔推諧公道聲同往北俟約以事清後請福延一往就認武家宗派會賊挾擷阻陸路不通因徙安廣水道囘執事遂不果達求治間稽距崇天施屬山南土黃土黃崙尚書黃公賓又奉北使有武老爺者邀諸途而問曰使君乃安南陪臣必知本國明王族不審武潭苗裔當今闊闊如何公無道其因言武氏在天朝亦稱世科各余亨連	Trong thời gian này có cháu 7 đời của Cao-Vương Hao Vương, tên gọi là Lư, khi sang nước ta. Ông đi xem tất cả những nơi danh thắng nước ta khi đến công lăng Mộ-Trạch, Ông chỉ tay, bảo mọi người rằng: Đây là cái Tô Tấn sĩ đó! Quả nhiên đến thời nhà Lê vào khoảng niên hiệu Thịnh - Đức (1653) và năm Vĩnh - Thọ (1658 - 1662) những kỳ xuân thì chiếm bằng rất nhiều, khoa bình-thân đã được 3 người, đến khoa kỷ hội đã được 4 người, còn một hai người thì chẳng khoa nào bổ trọng, đồng thời có đến 13 vị cùng ra làm quan một lúc! Toàn dân trong ấp đều là dòng dõi Ông Hồn, nguyên trước ông được tặng phong Phúc-thần, rồi sau tiếp tục được phong huy hiệu. Hiện nay sau đám rừng nhỏ, vẫn còn một năm đất, tức là ngôi mộ của ông Vũ-Hồn vậy. Khoảng năm Dương-Đức (1672-1674) thời vua Lê Gia-Tông, bọn ông Duy-Hải và Công-Đạo cùng sang sứ bên Tàu, các ông hẹn nhau sau khi xong việc sẽ xin 'qua thăm Phúc-Kiến một lần, để nhận dòng đội họ Vũ bên ấy! nhưng vì lúc ấy có loạn, đường bộ bị nghẽn, nên không thực hành được. Mãi đến thời vua Lê Hy-Tông khoảng niên hiệu Vĩnh-Trị (1676-80) có quan Thượng-thư là Hoàng-công-Bửu quê huyện Thổ-Hoàng thuộc phủ Thiên Thi, phượng mang sang sứ bên Tàu, hổng có ông gia họ Vũ đón ở doc đường hồi Công-Bửu rằng: Sứ thân là người An-nam biết rõ những họ có danh ở bên Quí quốc. Vây tôi xin hỏi dòng dõi của họ Vũ-Hồn hiện nay thế nào? Công-Bửu bên kè hết chuyện họ Vũ bên này cho ông gia nghe. Ông gia nghe xong bắt giác hoa chân múa tay, luôn miệng khen tốt, rồi lại kẻ rằng: Họ Vũ chúng tôi ở bên Thiên Triều, cũng đẳng khoa danh kẻ thế, ngày nay cũng vẫn phát đạt như thường! Thế rồi trước khi cáo biệt, ông gia đưa ra 10 hốt bạc và 10 tấm nhiều màu huyện để ghi làm quà tặng. Nhưng lúc trở về doc đường hổng gặp người vợ Đặng-Diệu nguyên là tướng của nhà Minh, năm trước bị chết tại trận Hồng-Đàm, ngày nay thị muốn báo thù cho chồng, nên mỗi đêm bọn gia nhân đón đường Sứ giả, cướp lột hết cả hành trang! Đến khi về nước, chỉ còn thuật lại câu chuyện thế thôi! Ngày nay người ta cho là: Khoa bảng nước nhà riêng làng Mộ-Trạch chiếm nhiều nhất, là nhờ vương khí của bắc phương tự tập ở đó vậy.
HVB_003_0003	既而告別以銀子十笏玄絲十匹高贈但使還間忽遇將都婁俞念我國洪澤之役事見寧相為失報仇率其徒遮截回程行裝為其所掠歸國曰鏡見道來一徧而已人言天南科第慕都探花武賊撰文會賀幀有詩讚云八百年來通脹長各公願聖世相望高曾祖考勲賢緒綿爵科各蔭澤光八葉華門聲來歌三槐王氏適堪芳鋪張不盡君家事下筆時開翰墨香	Vi thế khoảng niên hiệu Vĩnh-Thịnh, khoa thi Nhâm thin (1712) Đinh-Ân thi đồ Tấn-sĩ, lúc ấy có vị Thâm-hoa Võ-Thành, là người cùng huyện, soạn bức trưởng mừng cho Văn-hội, đã có bài thơ khen ngợi như sau: Ngàn năm đạo đức mạch truyền qua. Đời rồi vang lừng tiếng đại gia. Sự nghiệp Tô tiên đã kẻ thế, Văn chương cháu chất nói đăng khoa! Tiêu đình là ngọc khoẻ tròn tâm Vương thị sản hòe sánh đủ ba Cảnh đẹp nhà ông phó chẳng xưê. Ngạt ngào hương mực khắp gần xa.
HVB_003_0004	尚書曰試有記武有慕澤人也	THƯỢNG-THƯ VÕ-HỮU KÝ
HVB_003_0005	乃竟佐之曾孫其父伯謙頒歸代路安副使參有陰德生下五男一女竝以貴顯稱武有生時所居宅其後為追遠相堂堂踊有喬木古樹亭亭時立黃甲幹武詠詩云尚書武祖來遺種異風英香火堂前得地生翠華蓋參天滋粉代黑怒濤十里樹風聲高標挺特為人望大器軒昂爵晚成舊福綿洪培植厚故家喬木永醫書有為人好古執禮博學洽聞光順樣聖宗癸未科黃甲送任內外諸曹聲價盡無鹽隊五部尚書常浪吟自述詩云雀荊周年官盛踐寧牛曾有之牛耕其清介頗如此尤精於筆學能立大成等法徐田載新述書行于世將城內端門及大興東花等門自李朝營築久歷星霜漸致顔壞皇上特命增葺葺因召公謂曰爾鄉精於等術令諸門修築試等鴻尾數千完了推討規公郎相其高低廣狹等祭黃炎其陳皇上帝治任陶鎔尋命草草之依然完成不差尺寸上深嘉嘆賞日此神籌也	Ông Võ-Hữu người làng Mộ-Trạch, là cháu 3 đời của Nghiêu-Tà, phụ thân ông tên là Bả-Khiêm, lãnh chức vạn-phủ-phó-Sứ tại Lộ Quy-Hóa, vì có nhiều âm đức nên sau sinh hạ được 5 con gai và 1 con gái đều hiện vinh cả! Còn ngôi nhà của ông sau khi mất, học trò đặt tên là Truy Viễn-Đường, trước nhà có cây tùng cao chót vót mà Tùng-hiên Tiên-sinh (biệt hiệu của cụ Hoàng Giáp Võ-Cán ) đã liệt nó vào 1 cành trong 8 cành của làng Mộ-Trạch và có vịnh bài thơ như sau: Cối phúc lưu lai tự thuở nào! Từ đường đứng trước đẹp làm sao! Một trời phủ kín cây tân biếc. Mười dặm kêu vang lớp sóng đảo. Chót vót mây xanh người vẫn nghến! Hiện ngang bóng cả tiết càng cao! Cho hay phúc hậu công bởi đắp. Nhà với cây chung chữ thế hào! Ông Vô-Hữu là người có tánh hiểu cờ thủ lẻ, học rộng lại kiến văn nhiều. Thi đồ Hoàng-Giáp khoa Quí-vị (1463) vào thời Lê Thánh-Tông niên hiệu Quang-Thuận, khi xuất chính trái khắp trong ngoài, tôi đầu dân cũng ca ngợi, dân dân thăng đến ngữ bộ Thượng-Thư. Ông thường ngâm bài tự thuật trong có những câu: nhầm nhiểm chu niên quan lịch tiền, Tề ngưu tằng hữu pháp ngưu canh?
HVB_003_0006	仍賜肥田百餘畝以旌其能年七十來戶部尚書曰誠仕嘗作涼亭煥鬱優遊山水以樂大年所居之卷各曰鳳池後贈太保職光黃乃載六黎簿之子詠詩云豪傑初由進士科日勤日愼無他諸當逃試功各著同列威推德業加廣相守文歆宋璟普朝強物黃張花午門建青黃相暎映餘慶從知精善家其孫武穆為人坦蕩人少遊長安稱典兵一啟黎仁宗太祖時有通臣范屯潘般興諒山王宜氏踰牆紱逆公乃文裔謀典業者二國公假以相人之術攘刀殺得范也	nghĩa là: Thấm thoát năm tròn quan trái khắp! trâu mồ thi có, thiếu trâu cày, coi đó dủ biết là người thanh liêm đến như thế nào? Ngoại điểm văn chương chính sự, ông còn tinh cả toán học, đã lập ra 1 cuốn Toán pháp đại thành trong có chỉ dẫn phép tinh ruộng đất và phương pháp cấy cây, truyền bá trong khắp dân chúng. Giữa lúc ấy trong hoàng-thành có các cửa Đoan-môn, cửa Đại-hưng, và cửa Đông-hoa. Xây dựng từ thời nhà Lý, tới nay trải nhiều mưa nắng bị vỡ lở nhiều đoạn. Hoàng Thượng ra lệnh trùng tu, nhân triệu ông vào phân hỏi: — Trẫm nghe nhà người tinh về toán học, vậy nay công việc trùng tu, các cửa, người thử tinh xem gạch đã hết là bao nhiêu thì làm lại được.
HVB_003_0007	因急喚二稱引兵赴救收潘敬父其黨盡裁之宮庭為之南清乃遜立聖宗嗣統朝廷護其功進封明義功臣都督府左都督知禮伯尹賞肥田一百畝餘衣為世業光賁有詩六早貞才各一世豪唐安知礼擅稱廢卻承孔鯉廷趨訓長得曹彬世授韜許裴載武途曾至踐百年簡竹記動勞莫嫌世道多婉挾門望之巍巍，	Ông lỉnh mang ra ngay các cửa do đặc tinh toán xong rồi lập thành đồ bản dâng lên. Hoàng-Thượng bèn sai thợ nung gạch ngói và các vật liệu, bắt đầu khởi công, đến lúc hoàn thành quả nhiên không thừa không thiếu! Hoàng-Thượng tẩm tắc ngợi khen là tay thân toán, rồi thưởng cho ông 100 mẫu ruộng tốt để làm tiêu biểu cho sự tài năng. Năm ông 70 tuổi, được lãnh chức Hộ bộ Thượng-thư về hưu. Trong lúc thư nhân, ông mới xây nhà nghỉ mát, ngao du sơn thủy, vui thú cảnh gia. Nơi am ông ở đặt tên là Phương-Tri.
HVB_003_0008	獨高。旁誦言唐安知禮，	Sau ông được tặng lên chức Thái-bảo, ông Quang-Bôn có làm thơ mừng như sau: Hào kiệt nguyên trong Tán sĩ khoa. Chữ cần chữ thận chẳng sai qua. Ty Tạo thử khắp tài năng rỏ Liêu hữu suy tôn đức nghiệp gia. Đường Tướng thử văn so Tống-Cảnh Tân Triệu bác vật sánh Trương-Hoa Môn đinh rực rỡ màu xanh tía.
HVB_003_0009	此之謂也。按武有之，	Tích thiện cho hay bởi những nhà. Cháu tên là Võ-Dư là người vũ dũng can đảm là thường! lúc còn niên thiếu qua chơi Tràng-An, ban đầu được bỗ một chức Điền-binh, đến thời Lê Nhân-Tông (1413-54) có tên Phạm-Đồn và Phan-Ban cùng với Lạng-Sơn Vương Nghi-Dân trèo tường vào cung toàn bài thi nghịch, ông bèn mật muru với Sùng, Kỷ hai vị quốc công, cải trang làm thầy coi tướng, ngầm đất dao vào đâm chết Phạm-Đồn, rồi mới hò hai tướng kéo quân vào bắt sống Phan-Ban và các đồng đảng đem ra chém hết! Sau khi tạo thanh trong cung cảm, bèn đón Thánh-Tông về nỗi ngôi. Sau Triệu đình luận công ban thưởng, ông được tấn phong Minh-Nghĩa Công-Thần, Đô-Đốc Phù-Tà Đô-Đốc, Tri-Lễ-Bá, và được thưởng 100 mẫu phi diễn làm ruộng thế nghiệp. Vì thế Quang-Bôn có thơ mừng rằng: Sớm đã tài ba nổi tiếng hào!
