pair_id	han_sentence	viet_sentence
HVB_002_0000	安南志原序	AN NAM CHÍ NGUYÊN TỰ
HVB_002_0001	安南界在粵東西及滇南之國粵東滇南由海道入而粵西由陸道人故頒朔傳檄以及上表進貢由粵西取其地形便也	An Nam là một nước ở giáp giới Việt Đông, Việt Tây và Điển Nam. Từ Việt Đông và Điển Nam thì do đường biển, triều ban chính sóc và truyền hịch văn hay khi (An Nam) dâng biểu và tiến cống đều do đường Việt Tây, là vì theo địa thế tiện lợi.
HVB_002_0002	明正嘉中安南黎莫二夷互相雄據爭欲得中國之號為重而中國亦察其情形隨宜應之第覈霧霧勿絕耳	Khoảng giữa niên hiệu Chính Đức (1506 - 1521) và niên hiệu Gia Tĩnh (1522 - 1566) nhà Minh, hai “rợ” Lê, Mạc bên An Nam mỗi đằng xưng hùng cát cứ một nơi, tranh nhau lấy làm quý trọng nếu được phong hiệu của Trung Quốc. Về phần Trung Quốc, Trung Quốc cũng xem xét tình hình, tuỳ từng cơ nghi mà ứng phó, nhưng cũng chỉ tỏ ra ràng buộc lỏng lẻo, khiến cho khỏi đứt mối liên lạc.
HVB_002_0003	迨莫氏中微黎氏中興旁觀物讓幾於盈庭大都英銳之氣以漢唐郡縣為名必乘蚌鹬之勢而清南海之塵老成之臣惕宋元之遺車皆欲以夷治夷如嘉靖間故事	Kịp khi họ Mạc chơi với suy sút, họ Lê dấy nghiệp Trung hưng, ở trong triều đình Trung Quốc nhan nhản những khách bàn quan và xôn xao những lời bàn luận... Đại khái, phái hăng hái sắc bén cho rằng ta nên vin vào danh nghĩa Hán Đường đã đặt An Nam làm quận huyện, quyết nên nhân tình hình cò và trai đang cắn nhau này mà rửa sạch bụi trần ở biển Nam đi; còn hạng bầy tôi lão thành thì cảnh giác về vết xe cũ của nhà Tống, nhà Nguyên xưa, ai nấy đều muốn cứ để Man Di lại trị Man Di như việc đã làm ở khoảng niên hiệu Gia Tĩnh (1522 - 1566).
HVB_002_0004	夫今昔之情不甚相遠	Này, tình hình xưa và nay không khác nhau xa lắm.
HVB_002_0005	傳曰：上者因之。其次者整齊之。最下者與之爭	Sách Tả truyện có nói: “Bậc trội nhất thì noi theo; bậc thứ nhì thì sắp xếp lại cho tể chỉnh; bậc kém hơn cả thì mới tranh giành với người ta”.
HVB_002_0006	西京之時寬其文網而因其習俗故其民安	Đời Tây Hán, mở rộng văn giáo cứ để tập quán và phong tục cho họ y nguyên như cũ cho nên dân (An Nam) được yên.
HVB_002_0007	東京之時尊之以禮法而恐之以兵威故其民疑	Đời Đông Hán hướng dẫn họ theo lễ phép nhưng lại làm họ sợ sệt bằng cái quyền quân sự, nên dân họ mới sinh nghi ngờ.
HVB_002_0008	至漢之季而吏病民民亦病吏載不可收拾矣	Đến cuối đời Hán, quan lại làm đau khổ dân, dân cũng làm đau khổ quan lại, tình hình tan rã, không thể vớt vát được nữa!
HVB_002_0009	唐末而後尤有甚焉蠻吏利其山澤之貲以安南為奇貨，稽山而治竭澤而漁虎猴之性反噬隨之，其號為彊有力者喜以功名自樹今曰召募明日徵輸截首未聞而捉摘立見	Từ đời Đường, Tống trở về sau lại càng quá lắm: Bọn quan lại tham ô ngốt vì tiền rừng bạc bể, coi An Nam là món hàng buôn bán có lời nên họ kéo bể đổ cả núi, đánh cá kiệt cả chằm, khiến cho hổ lang tính dữ, tức thì cắn trả; còn bọn quan lại gọi là cứng cát và có thế lực thì hay hám lập công danh, nay chiêu mộ, mai trưng thu, nhưng chưa thấy chặt đầu xẻo tai được giặc thế mà chính mình đã bị bắt liền.
HVB_002_0010	元始無論	Hồi xưa không bàn làm gì nữa.
HVB_002_0011	西漢時交趾置官為刺史者一為郡守者二邑令不數	Từ đời Tây Hán, đặt quan ở Giao Chỉ: một Thứ sử, hai Thái thú, ấy là không kể số quan ấp lệnh.
HVB_002_0012	明初列爲三司分爲十七府州縣且以百計而又鎮以中官	Hồi đầu đời Minh, đặt ba ti (ở An Nam) chia đất nước ấy làm 17 phủ, còn châu và huyện có tới hàng trăm, rồi lại đặt chức Trung quan để trấn giữ.
HVB_002_0013	彼其人豈安飲冰茹葉匪朝之故乎	Những người làm quan ấy há chịu ăn uống kham khổ, không nghĩ đến cớ riêng của mình mà hết lòng trung thành, đi làm việc nước?
HVB_002_0014	聞之掌故若參政馮貴已有墨聲而中官馬騏尤甚	Tôi nghe truyện cũ còn truyền lại: Những hạng như Tham chính Phùng Quý đã có tiếng là tham ô, mà Trung quan Mã Kỳ lại càng quá lắm.
HVB_002_0015	初政若斯後將安極宜平交人之麋叛也	Những người làm chính sự ban đầu còn hỏng như vậy huống chi sau đó lại còn quá tệ tới đâu... Thảo nào người Giao Châu luôn luôn làm phản là đáng lắm.
HVB_002_0016	昔合浦郡多墨吏珠移之交	Xưa kia, quận Hợp Phố có nhiều quan lại tham ô, ngọc trai mới dời sang Giao Châu.
HVB_002_0017	孟嘗為郡守去珠復還	Đến khi Mạnh Thường làm Thái thú quận Hợp Phố (vì thanh liêm) nên những ngọc trai đã đi ấy lại về Hợp Phố.
HVB_002_0018	嗟夫今之世安能盡得若人布之南交令交人不輕中夏哉	Than ôi! Đời nay lấy đâu được những người như Mạnh Thường ấy để đặt sang Nam Giao, khiến họ không dám coi khinh Trung Hạ!
HVB_002_0019	安南志原卷第一	AN NAM CHÍ NGUYÊN QUYỂN I
HVB_002_0020	目錄：總要、里至、山川、分野、八到、坊郭鄉鎮、疆城、城池、土產	Mục lục: Tóm tắt những nét cốt yếu; Phủ và châu; Phận dã; Bờ cõi; Đông tây tứ chí; Giáp giới tám mặt; Thành và hào; Núi sông; Phường phố, ngoại thành, hương và trấn; Thổ sản.
HVB_002_0021	遁，李恒等追襲於海，敗之	trốn đi, bọn Lý Hằng đuổi theo, tập kích ở biển, đánh bại được.
HVB_002_0022	盛夏軍中疾作，霖潦暴漲，議者請班師。恒不能奪，遂還	Bấy giờ gặp giữa mùa hè, nóng dữ, trong quân nhà Nguyên nổi tật bệnh, lại gặp mưa dầm, nước lụt dữ dội, nhiều người bàn xin rút quân về, Lý Hằng không thể át được, bèn phải rút lui.
HVB_002_0023	蠻兵追敗後軍	Quân Nam đuổi theo đánh bại toán hậu quân nhà Nguyên.
HVB_002_0024	恒及唆都俱戰死	Lý Hằng và Toa Đô đều chết trận.
HVB_002_0025	官軍溺死十至五六	Quan quân nhà Nguyên chết đến năm sáu phần mười.
HVB_002_0026	二十三年，詔發江淮、蒙古、雲南諸道兵九萬餘人，水陸並進	Năm Chí Nguyên thứ 29, vua Nguyên hạ chiếu điều động hơn vạn quân ở các đạo Giang, Hoài, Mông Cổ và Vân Nam, thuỷ bộ cùng tiến.
HVB_002_0027	日烜及其子復走入海	Nhật Huyên cùng với con lại chạy ra biển.
HVB_002_0028	鎮南王追之海口，不知其所之	Trấn Nam Vương đuổi theo đến cửa biển, không biết họ chạy đi đâu.
HVB_002_0029	會張文虎等糧船不至，諸將恐糧盡師老，無以支久，議分師還	Gặp bấy giờ, thuyền lương của bọn Trương Văn Hồ không đến, các tướng Nguyên sợ rằng lương cạn, quân mỏi, không lấy gì để kéo dài được bèn bàn nhau chia quân rút về.
HVB_002_0030	日烜分兵三	Nhật Huyên chia hơn vạn quân ra để chặn lối rút về của quân Nguyên.
HVB_002_0031	復謀大舉。平章不忽木曰：「蠻獸則吠，勢使之然。」	Bấy giờ nhà Nguyên lại mưu tính làm chuyện to nữa nhưng Bình chương Bất Hốt Mộc nói: Loài thú đến bước cùng thì phải cắn lại đó là tình thế xui nên thế.
HVB_002_0032	今日煠襲位，若遣一介之使，諭以禍福，彼能悔過，則不煩兵而下	Bây giờ Nhật Tôn nối ngôi, ta thử sai một sứ giả sang dụ về đường hoạ phúc, nếu hắn biết hối lỗi thì ta không phải phiền đến binh đao mà cũng hạ được.
HVB_002_0033	帝從之	Vua Nguyên nghe theo.
HVB_002_0034	於是交趾遣昭明王詣闕謝罪	Giao Chỉ bèn sai Chiêu Minh Vương đến cửa cung khuyết, xin tạ tội.
HVB_002_0035	成宗即位，命罷征	Nguyên Thành Tông lên ngôi, ra lệnh bãi việc đi chinh phạt.
HVB_002_0036	皇慶二年，交趾犯鎮安歸順二州，陷祿峒，焚利州官舍民居，殺數千人	Năm Hoàng Khánh thứ 2, Giao Chỉ xâm phạm hai châu Trấn An và Quy Thuận, đánh phá Lộc Động, đốt dinh quan và nhà dân ở Lợi Châu, giết đến vài nghìn người.
HVB_002_0037	中書省遣使詰之，安南飾辭以謝，仍飭邊吏，毋合侵越。自是貢獻不絕	Trung thư sảnh sai sứ sang chất vấn thì An Nam dùng lời văn vẻ để tạ lỗi và thông sức cho các quan lại ở biên giới không được vượt bờ cõi, sang xâm lấn, từ đó giữ mãi lễ cống hiến không gián đoạn.
HVB_002_0038	明太祖既定大統，安南陳日煠遣使入貢，封日煠爲安南國王	Minh Thái Tổ đã nối nghiệp lớn, An Nam Trần Nhật Khuê sai sứ sang cống, được phong làm An Nam Quốc vương.
HVB_002_0039	且戒後世毋伐其國	Vua Minh còn răn dạy con cháu đời sau đừng đánh nước An Nam.
HVB_002_0040	日煠卒，日煠嗣。其兄叔明逼死之，自立，奉表貢馴象	Nhật Khuê mất, Nhật Kiên lên nối ngôi, bị anh là Thúc Minh bức bách phải chết rồi Thúc Minh tự lập làm vua, dâng biểu sang cống voi đã dạy quen.
HVB_002_0041	禮部主事魯會啟其副覲之日：「前日乃日煠，今日叔明，必有以也。」	Chủ sự bộ Lễ là Lỗ Tăng mở bản sao bài biểu ra xem nói: Ngày trước là Nhật Kiên, ngày nay là Thúc Minh, tất là có cớ gì khác đây.
HVB_002_0042	亟白尚書詰之	Lỗ Tăng vội báo với quan Thượng thư để vặn hỏi.
HVB_002_0043	使者具言日煠爲叔明逼死，故託貢以觀上意	Sứ giả trình bày cặn kẽ rằng Thúc Minh bức tử Nhật Kiên rồi, nên mượn việc tiến cống để dò ý nhà vua Minh.
HVB_002_0044	上曰：「島夷何數煽代許之！」	Vua Minh nói: Man Di ở nơi hải đảo sao mà thương luân bại lí đến thế.
HVB_002_0045	十一年，叔明卒，弟煠襲。叔明仍專國政	Năm Hồng Vũ thứ 6, Thoan chết, em là Vĩ lên nối ngôi, Thúc Minh vẫn chuyên giữ chính quyền trong nước.
HVB_002_0046	二十一年，叔明卒，相國胡季犛廢煠	Năm Hồng Vũ thứ 12, Thúc Minh chết, Tướng quốc là Hồ Quý Ly bãi bỏ Vĩ rồi giết đi.
HVB_002_0047	立叔明子日 I (日[?] / 𡡔/𡦂) 主國事	Quý Ly là con rể Thúc Minh, bấy giờ Quý Ly lập Nhật Côn con Thúc Minh lên chủ trì việc nước.
HVB_002_0048	次年，又弒日 I，立幼子𡡔。假𡡔名遣使來貢	Qua năm sau lại giết Nhật Côn, lập con nhỏ là Ngung, giả mạo tên của Vĩ sai sứ sang cống.
HVB_002_0049	二十九年，思明府奏安南奪丘溫、應天、慶遠、淵脫五縣	Năm Hồng Vũ thứ 21, phủ Tư Minh tâu lên vua Minh rằng An Nam cướp năm huyện là Khưu Ôn, Ung Ngao, Khánh Viễn, Uyên và Thoát.
HVB_002_0050	上令以地還思明，日煠不聽	Vua Minh ra lệnh phải trả đất cho phủ Tư Minh nhưng Nhật Côn không nghe.
